Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11043,Bouilhonnac,225,38.7,172959,25080,91.6,5.3,40,33.5,27.3,143,4.418333333,3,7,2.6,5.2,13.4,
11044,Bouisse,101,04.09,94279,16000,87.3,9.1,100,27,32.6,257,22.29,3,30,5.3,10.6,18.2,
11045,Bouriège,148,13.52,109946,18600,101.7,0,,30.6,19.8,79,12.745,3,15,18.7,14,16.4,
11046,Bourigeole,55,06.06,43397,,84,0,,39.5,27.9,100,15.93333333,7,30,12.5,0,0,
11047,Le Bousquet,50,1.85,102488,,90,0,,11.1,28.9,2000,16.96666667,3,30,0,0,0,
11048,Boutenac,748,31.45,465778,20820,88.5,4.6,31.1,20.9,38.1,114,3.876666667,3,15,2.5,14.7,14.8,
11049,Bram,3 309,182.05,3048371,20720,87.6,11.4,46.4,23.8,30.4,124,6.481666667,3,3,6.1,9.6,11,10.02
11051,Brézilhac,181,26.98,103398,18270,95.4,15.4,0,36.1,22.6,65,8.175,7,15,7.7,11.2,6.6,
11052,Brousses-et-Villaret,342,30.47,197253,19820,91.5,2.9,24.4,26.7,30.7,148,5.286666667,7,7,1.6,10.9,23.4,
11053,Brugairolles,300,33.88,190238,19110,95.1,12.6,40,20.5,26.8,108,6.988333333,3,15,4.2,13.1,14.5,
11054,Les Brunels,279,22.47,188899,22450,99.3,3.9,16.7,30.9,21.5,158,11.72833333,15,15,8.4,10.1,14,
11055,Bugarach,244,09.02,185562,14190,92.3,19.2,25,26.1,22.7,172,8.155,3,30,7,2.3,34.2,
11056,Cabrespine,173,9.51,199672,17970,86.7,22.2,36.8,32,22.7,117,6.951666667,3,30,6.6,3.6,35.1,2.47
11057,Cahuzac,27,9.21,25663,,100,0,,23.1,34.6,500,10.00166667,7,30,0,0,30,
11058,Cailhau,260,25.72,186284,21650,89.2,4.2,50,25.5,26.5,235,5.038333333,3,15,2.4,9.5,9.9,
11059,Cailhavel,148,26.97,92012,20060,95,0,0,32.7,23.6,125,6.256666667,3,15,3.9,8.6,10.4,3.23
11060,Cailla,51,6.54,32529,,88,20,25,34.9,25.6,300,6.28,7,30,0,0,16.7,
11061,Cambieure,321,97.81,208971,21650,98.4,16,35.5,25.7,30.4,86,4.541666667,3,15,9.7,1.9,9.2,1.54
11062,Campagna-de-Sault,19,1.83,37317,,130,0,100,27.8,22.2,,22.5,15,45,0,0,14.3,
11063,Campagne-sur-Aude,613,101.51,467184,19610,85.2,11.5,47.1,16.9,34.1,167,3.845,3,7,4.5,15.4,27.3,
11064,Camplong-d'Aude,384,30.37,222789,17830,85.9,8.8,50,17.3,34,123,5.276666667,7,15,3.3,14.8,12.6,4.73
11065,Camps-sur-l'Agly,56,1.94,56486,,96.7,16.7,55.6,26.7,22.2,300,12.045,3,15,0,24.3,31.8,
11066,Camurac,107,8.96,195464,17080,81.7,0,44.4,20.9,27.5,338,6.923333333,3,45,0,0,23.7,
11067,Canet,1 854,130.48,1226986,20910,92.1,11,53.8,21.8,25.7,78,3.42,3,15,2.6,13,15.5,1.52
11068,Capendu,1 510,97.42,1072623,18320,87.9,9.7,37.8,19.1,34.6,152,3.951666667,3,3,2.7,12.8,17.1,13.58
11069,Carcassonne,47 345,717.16,52443343,18800,78.6,11.8,44.6,27.5,29.4,115,5.923333333,3,3,5.6,9.1,20.1,20.36
11070,Carlipa,344,64.26,206910,20140,92.5,5.7,54.8,29.4,23.1,70,5.445,3,15,10,6.9,18,
11071,Cascastel-des-Corbières,221,14.5,180238,17230,88,5,33.3,15.3,36.2,120,6.66,3,30,0,12.1,19,
11072,La Cassaigne,180,13.44,126873,22650,82.7,13.3,41.2,29.4,27,122,6.943333333,15,15,3.1,21.4,15.8,2.86
11073,Cassaignes,58,15.78,30397,,110,0,0,32.7,12.7,600,5.756666667,7,7,0,0,13.3,
11074,Les Cassés,322,42.17,163102,21730,96,7.4,17.4,44.7,16.4,63,6.413333333,3,15,5.8,13.1,12.7,
11075,Castans,133,7.88,129408,15520,90,6.2,20,30.3,21,329,16.655,7,30,0,0,24,
11076,Castelnaudary,12 974,261.25,13276975,19450,78.7,12.5,46,26.2,30.2,112,5.756666667,3,3,5.4,10.3,14,16.15
11077,Castelnau-d'Aude,509,67.75,574477,20430,94.3,9,34.6,23.6,23.4,91,2.855,3,15,0,16,12.2,
11078,Castelreng,207,18.69,128116,17630,96.7,5.6,0,34.3,25.9,108,15.13333333,3,15,6.7,0,14.4,
11079,Caudebronde,220,34.57,135754,23010,94.4,0,33.3,32.5,25.9,118,4.13,7,7,2.8,5.6,10.5,
11080,Val de Lambronne,163,13.92,130536,18850,97.6,17.6,20.8,19.7,35.8,159,13.04333333,3,15,3.2,9.1,19.4,3.66
11081,Caunes-Minervois,1 610,57.51,1146672,19030,87,18.4,45.5,25.3,29.3,190,4.57,3,15,2.2,8.7,14.3,5.67
11082,Caunette-sur-Lauquet,10,02.01,21834,,80,0,,37.5,37.5,50,18.105,7,30,0,0,0,
11083,Caunettes-en-Val,56,6.43,32903,,96.7,0,50,33.3,25,188,5.413333333,7,30,0,0,31,
11084,Caux-et-Sauzens,1 024,111.67,623849,20380,93.1,9.4,41.2,25.3,23.1,72,4.041666667,3,7,5.1,16.2,10,7.71
11085,Cavanac,1 028,107.14,757593,22180,95,10,50,29.5,19.2,76,3.965,3,7,9.6,8.8,11.6,
11086,Caves,899,98.25,560786,20290,94.1,6.3,12.5,25.3,23.4,78,6.783333333,3,15,5,11.5,12.2,7.9
11087,Cazalrenoux,101,6.97,66683,,105.7,0,0,26.9,29.9,83,9.545,7,30,8.2,0,7.1,
11088,Cazilhac,1 696,428.2,1338762,24090,93.5,5.8,26,31.2,22.9,148,3.811666667,7,7,4.5,6.6,10,
11089,Cenne-Monestiés,420,52.58,228077,20240,94.9,8.2,32.1,36.3,22.9,106,7.29,7,15,7,17.3,13.7,01.06
11090,Cépie,626,93.04,441264,20900,90.7,5.4,46.2,21.7,27.9,127,4.621666667,3,7,1.8,9.6,12.2,
11091,Chalabre,1 158,73.53,912685,18470,85.8,11,18.9,17.4,40.4,225,6.386666667,3,3,3.2,10.6,19,4.85
11092,Citou,97,5.25,72310,,100,10,100,22.5,30,257,7.606666667,3,30,0,0,21.6,
11093,Le Clat,29,2.73,76762,,65,25,100,8.3,66.7,400,14.37166667,15,30,0,14.3,22.2,
11094,Clermont-sur-Lauquet,29,1.48,26634,,93.3,33.3,,45.5,18.2,240,16.24166667,7,30,0,0,22.2,
11095,Comigne,325,33.77,200002,20480,97.3,10,28.1,28.7,24.3,117,3.13,7,7,3.9,16.9,11.5,
11096,Comus,32,2.27,95635,,90,0,25,41.9,6.5,1700,10.49166667,7,45,14.3,0,10,
11098,Conilhac-Corbières,919,73.81,582082,19730,92.3,5.1,35,23.6,24.6,100,4.281666667,3,7,6.5,13.6,12.6,7.46
11099,Conques-sur-Orbiel,2 623,103.11,1606438,21040,91.6,8.8,20.3,21.3,30.3,98,3.34,3,15,4.8,10.5,13.6,04.02
11100,Corbières,34,3.4,24273,,93.3,0,0,21.7,26.1,111,9.935,7,15,0,25,0,
11101,Coudons,54,5.47,51263,,86.7,16.7,50,13.7,43.1,2300,12.19666667,7,15,0,10,25,
11102,Couffoulens,567,60.3,404288,21900,95.8,11.9,74.4,30.2,18.9,112,2.963333333,3,15,15,11.9,8.4,1.91
11103,Couiza,1 147,165.73,889660,18540,86.4,9,42.5,19.5,35.1,198,4.673333333,3,3,1.5,10.3,16.7,14.48
11104,Counozouls,55,1.87,116468,,88.6,0,100,23.4,34,600,15.44833333,3,30,11.9,0,18.7,
11105,Cournanel,706,111.36,507035,21640,99.1,6.4,53.1,26.1,22.8,114,12.17,3,7,4.9,12.6,7.7,
11106,Coursan,5 846,235.07,3968418,20200,90,13,41.1,20.7,28,118,6.688333333,3,3,3.4,14.5,17.6,07.03
11107,Courtauly,80,9.97,51482,,100,0,100,26.3,17.5,106,13.05666667,3,15,0,8.2,21.4,
11108,La Courtète,47,8.41,41090,,92,0,0,35,22.5,350,7.136666667,7,30,0,0,20,
11109,Coustaussa,52,11.63,34057,,100,20,0,28.6,40.5,130,3.261666667,7,7,0,0,20.8,
11110,Coustouge,115,12,77615,18080,93.3,16.7,52.6,22.6,30.1,165,8.585,3,30,15.5,10.3,15.7,
11111,Cruscades,934,95.44,425987,19740,95.4,7.2,20,21.1,28.9,57,3.715,3,7,2.9,15.4,13.1,
11112,Cubières-sur-Cinoble,81,5.73,68024,,93.3,11.1,0,38.6,31.4,171,9.335,7,15,0,14.5,20.6,
11113,Cucugnan,117,7.37,134482,20750,73.8,7.7,100,20.2,30.9,130,8.091666667,3,30,0,27.7,9.6,
11114,Cumiès,42,10.46,27942,,85,0,,36.4,24.2,150,5.868333333,7,15,0,0,11.1,
11115,Cuxac-Cabardès,949,36.55,882041,18950,92.7,11.6,46.3,23.4,37.5,144,6.498333333,3,7,5.9,5.3,11,9.89
11116,Cuxac-d'Aude,4 117,187.74,2949275,19800,88.5,10.4,35.6,17,35.4,129,5.49,3,15,3.7,12.1,18.8,4.74
11117,Davejean,133,8.53,102225,14430,94.5,9.1,52.6,20.7,38,131,20.33166667,3,45,0,0,30.4,
11118,Dernacueillette,45,5.94,74197,,104,0,,30.2,23.3,433,19.69666667,7,30,0,25,21.7,
11119,La Digne-d'Amont,296,81.16,193019,23120,93.8,6.9,27.3,24.7,23.8,176,12.43833333,3,15,2.2,6,8,
11120,La Digne-d'Aval,542,167.83,320312,22130,95,8.3,60,26,23.3,159,10.72833333,3,7,4.2,14.7,8.9,
11121,Donazac,113,21.94,87304,,89.1,9.1,0,22.5,25.8,108,11.075,7,15,0,28.3,15.3,
11122,Douzens,790,51.71,471204,19900,87.8,4.5,33.3,20.3,26.7,98,4.748333333,3,7,6.2,15.6,15.6,
11123,Duilhac-sous-Peyrepertuse,151,07.02,118285,15150,88,0,0,18.1,31,132,12.1,3,30,3.5,10.5,23.3,
11124,Durban-Corbières,659,25.14,519553,19190,90,10,62.5,23,32.8,241,16.12166667,3,30,1.8,10.7,16.2,5.69
11125,Embres-et-Castelmaure,151,4.72,158679,19360,92.2,0,80,24.1,22.6,407,10.27666667,3,30,3.7,0,12.1,
11126,Escales,486,46.86,363597,18970,94.2,16.2,50,20.5,32.7,121,3.655,3,15,3.7,19.8,21.5,1.79
11127,Escouloubre,74,2.28,392009,,82.2,0,50,24.6,32.3,633,21.87,15,45,6.7,13.3,9.5,
11128,Escueillens-et-Saint-Just-de-Bélengard,144,13.04,108696,17600,98.7,13.3,44.1,29.2,31.5,347,7.036666667,3,15,0,17,21.4,
11129,Espéraza,1 732,162.74,1147347,18110,79.1,10.3,56.9,16,40.6,275,3.851666667,3,7,2.7,11.2,21.6,11.64
11130,Espezel,235,16,208101,19420,94.8,0,50,26.1,29.8,198,6.75,3,30,5.4,5.4,10.6,1.68
11131,Val-du-Faby,596,24.55,332459,16500,88.2,6.6,33.3,26,25.8,194,2.753333333,3,15,4.7,6.6,21.5,
11132,Fabrezan,1 275,43.89,884909,19420,92.6,7.7,30.1,22.3,24,148,3.873333333,3,15,2.8,14.2,13.1,01.02
11133,Fajac-en-Val,48,3.26,40615,,80,0,,37.9,13.8,72,10.98,15,30,10,10,4.3,
11134,Fajac-la-Relenque,55,14.25,24860,,80,0,0,32.4,29.4,73,9.965,15,15,0,0,4.8,
11135,La Fajolle,12,0.76,46852,,140,0,100,50,10,100,11.87666667,15,45,0,0,25,
11136,Fanjeaux,962,33.7,606222,19390,93.3,5.9,31,31.9,27,155,6.148333333,3,15,3.3,11,12.8,11.11
11137,Félines-Termenès,135,12.89,131021,13690,95,0,40,30.3,29.3,130,16.25833333,3,45,4.5,0,31.6,
11138,Fendeille,582,72.94,381835,22190,96.8,6.8,41.3,31,21.9,91,4.406666667,7,15,0.9,17.5,10.7,
11139,Fenouillet-du-Razès,75,10.66,57723,,76,30,100,15.2,27.3,327,7.61,7,30,0,7.5,18.5,
11140,Ferrals-les-Corbières,1 288,78.75,763757,19660,90.4,10.3,32.3,19,32.5,144,3.93,3,15,3.2,12.3,15.7,2.23
11141,Ferran,128,21.16,93987,26660,100,0,100,52.6,18.6,136,4.218333333,7,15,4.9,4.9,5.9,
11142,Festes-et-Saint-André,194,10.74,113972,13660,91.8,9.1,25,32.9,21.8,235,14.90666667,3,15,5.9,2.9,24.5,
11143,Feuilla,108,4.56,124772,14540,92.7,0,100,31.5,28.1,126,9.136666667,7,30,8.5,17.8,15.7,
11144,Fitou,1 138,36.23,1255367,19530,93.9,9.1,31,32,24,153,6.895,3,30,4.3,7.4,12.5,3.2
11145,Fleury,3 937,72.42,7592951,20560,89.3,8.4,36,20.6,31.8,214,3.12,3,15,3.5,9.1,21.2,4.92
11146,Floure,427,96.94,217626,19090,93.5,11,57.1,18.5,28.9,37,3.156666667,3,15,0,16.5,17.8,5.76
11147,Fontanès-de-Sault,5,0.95,37972,,80,100,,20,20,,16.54833333,15,45,0,0,50,
11148,Fontcouverte,574,56.07,426408,20560,91.7,13.2,49,25.2,25.9,118,3.681666667,3,15,5.1,8.4,17.4,
11149,Fonters-du-Razès,77,6.5,67273,,85.7,0,0,24.6,32.3,192,11.99,15,30,0,13.3,9.4,
11150,Fontiers-Cabardès,505,53.07,240554,18910,90,4.8,30.6,31,24.9,105,6.66,3,7,11.1,10.8,14,
11151,Fontiès-d'Aude,565,86.16,323889,20570,89.4,14.9,32.6,22.3,24,84,6.373333333,3,7,3.6,17,10.7,12.82
11152,Fontjoncouse,137,4.79,122184,18180,95.4,0,100,38.4,23.2,286,11.23833333,7,30,4.4,12.4,30.4,
11153,La Force,265,54.35,175629,21820,97.3,13.6,0,25.8,20.1,81,4.271666667,7,15,7.3,22,10.3,4.5
11154,Fournes-Cabardès,52,4.1,31234,,76.7,0,33.3,27.9,37.2,187,14.01666667,15,30,9.8,9.8,22.2,
11155,Fourtou,80,3.86,61324,,93.3,0,0,38.7,21,150,13.745,15,30,8.9,0,0,
11156,Fraisse-Cabardès,105,14.73,62363,19690,86.7,0,0,32.9,10.6,171,6.936666667,3,7,5,14.9,23.9,
11157,Fraissé-des-Corbières,216,11.1,157285,16840,97.7,4.8,23.8,25,25.6,210,7.673333333,3,30,2.8,5.5,13.1,
11158,Gaja-et-Villedieu,307,38.32,194369,22110,93.8,13.6,16.7,29.1,25.7,109,8.79,3,7,13.8,19.4,9.9,
11159,Gaja-la-Selve,139,12.04,84448,17210,98.7,0,75,29.7,19.8,158,13.30166667,3,30,3.4,13.7,11.9,
11160,Galinagues,34,8.45,33289,,76,60,0,33.3,30,140,7.261666667,7,30,0,11.1,7.1,
11161,Gardie,132,27.31,113463,20690,91.7,0,33.3,33.3,31.4,136,3.293333333,7,15,4.5,4.5,13.6,
11162,Generville,56,5.58,44611,,100,0,0,31.6,26.3,33,12.70833333,7,30,13.2,36.8,7.4,
11163,Gincla,48,06.01,49600,,104,20,0,20.5,35.9,300,12.55833333,7,30,14.7,14.7,35.7,
11164,Ginestas,1 568,159.47,1090122,21250,92.2,6.2,26.7,25.8,25.4,116,4.311666667,3,7,3.8,10.7,15,1.9
11165,Ginoles,310,49.11,193617,21710,90.9,3,60,20.1,27.5,369,10.96333333,7,7,5.4,7.1,9.4,
11166,Gourvieille,75,24.92,48308,,94.3,0,0,40,29.2,155,7.503333333,15,15,20.2,7.1,5.1,
11167,Gramazie,132,62.5,64596,19900,102,20,0,22.2,25.6,88,2.186666667,3,15,0,31.2,14,
11168,Granès,112,18.96,79028,17980,96.7,0,0,21.2,25.9,211,6.953333333,7,15,10.2,4.5,18.7,
11169,Greffeil,97,6.58,63476,,105,12.5,0,29.3,25.3,200,11.795,3,30,0,6.8,18.2,
11170,Gruissan,5 178,117.55,11042258,20710,90.3,9,51.4,25,25.7,253,16.63833333,3,7,4.2,7.2,18.1,4.69
11172,Homps,612,195.1,498516,18300,89.9,7.1,40.8,22.5,34.8,125,3.643333333,7,7,9.9,9.9,17.7,8.42
11173,Hounoux,134,16.93,79829,17920,100,9.1,0,31.1,22.6,127,10.71,3,15,0,17.4,16.4,
11174,Les Ilhes,59,13.46,34234,,108,0,33.3,16.3,26.5,383,12.345,7,30,0,11.1,11.8,
11175,Issel,493,27.12,402054,21000,93.6,2.2,16.4,31,25.4,134,6.948333333,3,15,3.7,12.2,13.5,
11176,Jonquières,51,4.1,40089,,92,20,50,29.4,41.2,561,11.555,7,30,0,12.2,16.7,
11177,Joucou,31,4.81,59092,,75,0,66.7,17.9,25,500,10.75166667,15,30,0,14.3,50,
11178,Labastide-d'Anjou,1 286,149.12,914157,21150,92.3,9.3,45.5,24,23.8,69,6.116666667,3,15,6.1,15.7,10.9,1.86
11179,Labastide-en-Val,91,7.69,65498,18590,88.9,0,100,21.3,22.7,227,5.258333333,7,30,0,13.3,6.7,13.04
11180,Labastide-Esparbairenque,59,3.64,137291,,87.5,0,,18.2,41.8,367,17.92333333,7,30,8.5,8.5,12,
11181,Labécède-Lauragais,420,20.34,313316,20630,96.9,9.9,40.8,27.8,20.2,144,10.51666667,3,15,1.4,9.6,15,
11182,Lacombe,185,11.67,407362,18870,87.8,5.6,16.1,20,35.7,148,4.673333333,7,15,6.8,6.8,19.2,
11183,Ladern-sur-Lauquet,272,10.88,170548,20160,89.9,4.2,66.7,32.2,24.3,93,5.395,7,30,2.2,8.8,11.5,
11184,Lafage,98,7.32,70711,,111.4,14.3,,30.7,26.7,111,11.93,7,15,8.9,17.9,15.8,
11185,Lagrasse,551,16.89,512264,19220,80.7,15.3,40.8,39.3,22.9,127,10.97833333,3,30,4.3,6.4,8.3,1.93
11186,Lairière,53,4.13,67438,,100,0,,41.5,17.1,150,23.30166667,7,30,0,10.6,27.8,
11187,Lanet,59,6.86,80232,,105.7,14.3,,29.3,22.4,1200,22.47,3,30,0,10,0,
11188,La Palme,1 815,62.32,1435322,21350,96.1,4.7,30.8,22.7,24.2,137,5.265,7,15,5.3,8.8,14.8,11.92
11189,Laprade,112,23.43,74440,18930,88.9,11.1,0,14.3,29.8,50,11.545,3,30,0,18.2,27.3,
11190,La Redorte,1 270,92.14,897806,18810,91.3,9.4,38,20.3,32.5,169,4.495,3,15,2.8,13.4,17.4,
11191,Laroque-de-Fa,146,7.35,160508,14910,90,0,25,20.5,41.7,183,23.02,3,45,0,0,32.6,
11192,Lasbordes,821,53.12,826253,20870,91.5,9.1,20.4,20.5,30.6,69,4.028333333,3,15,4.7,11,12.7,23.12
11193,Lasserre-de-Prouille,291,67.79,159394,19650,93.2,4.1,16.7,23.9,26.4,90,6.365,3,15,6.3,11.3,5.2,
11194,Lastours,155,55.36,162654,18260,93.3,0,0,22.1,18,121,9.485,7,15,0,10.9,16.2,17.33
11195,Laurabuc,400,48.88,291272,21170,96.9,2.8,38.1,30.1,21.8,115,7.1,3,15,5,12.4,14,
11196,Laurac,188,15.63,121560,20600,97.5,12.5,50,32.6,19.4,114,7.665,7,15,3.5,7.1,10.5,
11197,Lauraguel,629,86.73,351120,20260,97.4,11,35.4,26.2,29,103,7.666666667,3,7,4.8,18.7,11.7,07.01
11198,Laure-Minervois,1 014,25.82,770329,19110,87.4,12.8,45.3,20.5,32.7,172,7.145,3,15,5,13.2,16.3,1.63
11199,Lavalette,1 560,231.6,779546,21580,95.8,5.6,19.3,26.9,23.5,70,2.881666667,3,7,6.1,17.3,11.6,6.13
11200,Lespinassière,138,8.25,92329,16250,84,0,75,34.7,26.3,337,11.87666667,3,30,26.5,0,20.8,
11201,Leuc,854,75.44,501122,22840,93.6,18.4,21.5,33.2,16.7,78,3.97,3,15,5.5,9.6,9.1,4.49
11202,Leucate,4 602,194.52,13754022,20860,87,7.5,44.9,22.6,30.5,351,6.468333333,3,30,4.3,8.8,22.1,7.7
11203,Lézignan-Corbières,11 167,294.9,9490063,18860,84.8,11.7,40,18.2,39.6,109,4.801666667,3,7,3.1,12.6,20,13
11204,Lignairolles,39,5.88,28134,,106.7,33.3,0,13.5,35.1,340,10.01333333,3,15,0,29.5,0,
11205,Limousis,129,13.21,69697,19560,85.7,7.1,80.8,22.4,20.6,148,8.34,3,30,0,9.1,9.5,
11206,Limoux,10 750,313.51,9862250,19570,80.5,12.9,41,22,36.3,147,7.655,3,3,3.8,10.7,17,12.28
11207,Loupia,253,54.04,163999,20410,92,8.6,66.7,21.3,26.1,110,10.81333333,3,15,5.1,10.2,18.6,
11208,La Louvière-Lauragais,84,12.96,57194,,100,25,0,30,25.7,200,8.926666667,15,15,14.3,0,11.4,
11209,Luc-sur-Aude,253,31.81,198633,19590,96.8,4.4,25,30.2,21.2,98,2.941666667,7,7,2.6,10.3,19.3,
11210,Luc-sur-Orbieu,1 162,114.57,746893,19840,88.5,10.5,46.1,19.1,32,112,3.876666667,3,7,3.6,10.3,16.5,
11211,Magrie,544,53.97,299996,21690,92.7,12.2,36.4,26.7,22.6,154,11.6,7,7,3.2,15.8,10.1,
11212,Mailhac,592,54.9,415937,18680,89.6,3.8,37.5,20.9,28.3,76,5.001666667,3,15,2.9,12.7,11,
11213,Maisons,46,3.87,76697,,80,0,50,20.5,43.2,2000,16.58166667,3,45,0,12.8,17.8,
11214,Malras,444,100.95,287407,21570,90.5,10.5,23.6,25.1,26.6,108,11.65,7,7,2.5,16.9,12.7,
11215,Malves-en-Minervois,883,176.84,601915,22890,97.1,5.6,24.1,31.4,26,108,3.803333333,3,15,2.9,13.1,15.8,9.95
11216,Malviès,370,50.55,251545,21780,88,5.7,15.4,26.4,28.5,109,8.306666667,3,15,9.1,16.3,13.3,
11217,Marcorignan,1 331,232.09,784686,21120,93.6,6.8,20.3,25.5,23.9,104,2.621666667,3,7,6.6,8.7,15,4.87
11218,Marquein,81,14.94,48258,,103.3,0,,36.1,21.3,83,7.038333333,7,15,18.5,9.3,15.9,
11219,Marsa,21,0.99,55169,,100,0,100,33.3,22.2,250,9.611666667,15,30,0,0,25,
11220,Marseillette,712,62.85,399361,19880,93.9,4.5,44.4,18.4,30.3,130,3.99,3,7,3.4,10.1,13.2,4.15
11221,Les Martys,306,15.75,561874,19820,94.7,7.6,42.9,19.7,23.1,95,9.355,3,15,10.2,13.1,21.7,
11222,Mas-Cabardès,180,19.36,316192,20040,90,5.6,40,18.2,28.7,194,13.495,3,30,3,23.8,15.3,2.27
11223,Mas-des-Cours,25,3.31,17373,,110,0,,29.4,5.9,38,10.25166667,15,30,0,25,7.1,
11224,Massac,27,2.27,42460,,90,0,,18.5,51.9,,23.36166667,7,30,0,0,44.4,
11225,Mas-Saintes-Puelles,951,33.62,633860,21370,94.7,5.6,30.3,31.4,20.5,74,6.283333333,3,15,10.4,10.7,8,7.77
11226,Mayreville,85,10.28,50370,,102.9,28.6,0,26.8,22.5,154,9.028333333,15,30,13.3,6.7,28.3,
11227,Mayronnes,43,3.37,44830,,120,0,,28.1,21.9,138,8.193333333,15,30,0,0,25,
11228,Mazerolles-du-Razès,156,18,108278,16680,90,0,100,17.4,37.2,166,4.558333333,3,30,3.8,10.8,13.1,
11229,Mazuby,28,2.9,39587,,86.7,0,0,12.5,33.3,300,6.643333333,7,30,0,23.8,25,
11230,Mérial,33,1.86,43647,,86.7,0,,25,41.7,217,9.638333333,15,30,0,14.3,16.7,
11231,Mézerville,100,13.42,59249,,100,12.5,25,28,30.5,175,6.693333333,7,15,0,11.1,6.5,
11232,Miraval-Cabardès,52,3.78,68188,,110,25,50,30.8,23.1,214,12.62166667,7,15,0,16.7,26.3,
11233,Mirepeisset,762,144.89,542823,21560,94.3,10.4,30.8,25.2,23.1,97,4.306666667,3,7,4.1,12.4,13.8,
11234,Mireval-Lauragais,196,17.93,179997,22040,92.9,17.6,100,37.1,19.6,62,8.116666667,7,15,6.1,22,12.6,
11235,Missègre,59,7.97,54422,,80,0,,32.1,35.8,460,18.28333333,3,30,0,16.1,27.6,
11236,Molandier,249,12.35,143535,21000,95.2,14.3,20,28,27,114,7.181666667,15,7,4.5,9.1,11.9,
11238,Molleville,149,39.28,64050,22440,102,10,100,28,18,62,5.593333333,7,15,10.1,0,9.2,
11239,Montauriol,83,9.56,55165,,91.4,0,0,18.5,35.4,68,6.106666667,7,15,6.3,11.4,11.6,
11240,Montazels,560,126.65,367524,20570,89.7,7.1,65.9,19.2,33.2,150,2.145,3,3,4.1,6,13.7,0.36
11241,Montbrun-des-Corbières,340,31.95,235954,20150,94.2,0,0,29.4,29.4,115,3.655,3,15,5.3,10.5,9.4,
11242,Montclar,173,15.47,175411,21820,92.9,5.9,33.3,32.9,19.2,162,6.1,3,15,0,6.4,13.2,
11243,Montferrand,646,34.86,442724,23540,95.9,8.6,35.2,33.6,19,78,4.055,7,15,13.8,6.9,7.1,
11244,Montfort-sur-Boulzane,91,2.7,138769,,81.8,0,0,16.2,32.5,300,15.58166667,15,30,0,5.2,18.8,
11245,Montgaillard,37,2.27,79051,,84,0,,19.4,33.3,650,17.92333333,3,30,0,0,23.8,
11246,Montgradail,48,10.04,23368,,100,0,,18.4,28.9,200,7.976666667,7,30,0,20.8,10.7,
11247,Monthaut,38,5.42,24591,,113.3,0,0,33.3,30.3,450,10.67833333,7,30,0,0,14.3,
11248,Montirat,69,5.45,62648,,94.3,14.3,0,37.3,27.1,100,9.111666667,7,15,8.3,0,14.3,
11249,Montjardin,83,5.88,54723,,100,14.3,50,19.4,32.8,100,2.885,3,3,6.6,0,16.2,
11250,Montjoi,39,4.87,48063,,100,25,0,38.7,19.4,500,22.78666667,7,30,0,0,43.8,
11251,Val-de-Dagne,750,14.71,514976,18640,88.9,8.1,43.5,28.5,24.4,173,07.03,3,15,5.4,11.4,9.4,3.46
11252,Montmaur,336,25.38,194355,24980,95.7,11.1,14.3,36.3,21.8,86,07.08,3,15,6.9,16.4,10.4,
11253,Montolieu,844,35.22,620738,20040,89.5,11.5,53.3,32,25.7,231,4.683333333,3,15,3.4,6.1,11.5,3.53
11254,Montréal,2 251,35.98,1423619,19940,90.7,14.8,42.1,28.6,29,104,6.671666667,3,7,5,10.9,11.7,6.23
11255,Montredon-des-Corbières,1 500,86.41,1651836,21060,95.3,14.6,19.9,27.3,26.5,116,5.676666667,3,7,3.7,8.5,10.3,3.92
11256,Montséret,639,54.91,398541,21380,92.1,7.6,32.6,32.7,21.1,81,3.805,3,30,6.3,12.3,11,
11257,Monze,242,16.76,160186,20620,95.5,0,14.7,25.8,23,106,8.955,3,15,5.2,15,11.7,8.41
11258,Moussan,2 113,137.16,1152565,22070,94.3,7.3,56.6,29.7,21.6,65,3.783333333,3,15,7.9,10.1,12.9,0.47
11259,Moussoulens,1 026,51.17,578078,20850,94.4,14.3,44.6,30,25.2,81,4.893333333,3,15,9,10.2,7.8,7.22
11260,Mouthoumet,113,7.94,96702,13960,95.7,21.4,,19.4,28.6,336,24.84833333,3,30,5.9,16.5,29.2,13.04
11261,Moux,718,45.03,463423,18980,88.8,9.2,51.2,19.2,27.4,112,3.681666667,7,15,3.9,11.8,21,4.62
11262,Narbonne,57 571,324.49,51976018,19270,78.9,12.1,44.1,27.5,29.4,119,9.8,3,3,5.7,9.7,20.2,21.29
11263,Nébias,266,20.57,227854,17490,91,11.9,16.7,18.6,32.7,227,12.415,15,15,4.6,13.8,30.6,
11264,Névian,1 309,89.61,873797,21910,92.8,5.4,53.8,27.4,24,100,3.171666667,3,7,7.4,12.6,10.6,
11265,Niort-de-Sault,39,1.85,74025,,93.3,0,46.2,3.1,56.2,129,6.941666667,7,30,0,18.8,0,
11266,Port-la-Nouvelle,5 973,206.83,11657531,19270,84.7,11.5,43.5,13.9,36.5,188,9.601666667,3,3,2.8,11.4,21.7,18.31
