Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11328,Routier,238,21.12,179441,18840,92.2,4.3,0,27.6,26.6,146,7.423333333,3,15,7.5,15,9.4,
11330,Rustiques,523,78.67,270290,21770,97.6,9,58.3,27.7,20.4,101,3.436666667,3,3,6.2,6.2,11.2,
11331,Saint-Amans,63,7.35,41027,,94.3,0,0,20.8,26.4,350,13.49666667,15,30,8.9,8.9,20,
11332,Saint-André-de-Roquelongue,1 401,44.69,957349,20750,91,10.8,33.5,24.7,31.3,103,7.383333333,3,15,4.5,13.2,14.1,
11333,Saint-Benoît,109,05.02,90891,,86,10,,36.5,16.5,95,9.248333333,3,15,4.7,18.9,19.2,
11334,Sainte-Camelle,121,12.39,72437,22810,100,0,20,29.4,35.3,80,3.846666667,7,30,0,15.2,10.5,
11335,Sainte-Colombe-sur-Guette,42,2.14,134263,,83.3,16.7,100,12.5,37.5,450,8.926666667,7,30,0,9.3,20,
11336,Sainte-Colombe-sur-l'Hers,445,41.28,302337,17980,90.9,8.5,26.4,22,36.7,203,5.22,3,15,1.4,18.4,20.2,4.33
11337,Saint-Couat-d'Aude,377,70.82,236667,20540,92.6,10.7,24.2,21.8,28.4,159,3.595,3,7,6,17,17.1,
11338,Saint-Couat-du-Razès,39,6.25,28859,,120,33.3,,43.3,16.7,33,15.345,3,15,18.5,0,28,
11339,Saint-Denis,510,60.9,272305,20170,94.3,14,30.6,22.8,26.8,138,3.82,3,7,2.3,7.9,20.2,1.61
11340,Sainte-Eulalie,550,79.69,330257,21960,94.2,4.8,0,30,25.5,94,2.848333333,3,7,11.1,18.4,9.6,
11341,Saint-Ferriol,111,11.17,85966,20290,93.8,15.4,33.3,18.2,30.3,318,7.413333333,7,15,0,9.8,31.5,
11342,Saint-Frichoux,237,37.28,148958,18450,91.4,14.3,50,20.3,34.6,100,5.646666667,7,7,2.5,12.5,11.4,
11343,Saint-Gaudéric,114,10.42,64722,,97.8,0,,43.2,15.9,104,11.01833333,7,15,4.7,25.2,9.3,
11344,Saint-Hilaire,726,30.97,569671,20930,90.6,13.6,26.3,26.1,26.8,141,5.62,3,15,4.1,8.1,13.6,4.26
11345,Saint-Jean-de-Barrou,265,34.56,205414,20050,95.6,0,9.1,25.5,32.5,334,7.086666667,3,30,10.2,4.1,18.5,
11346,Saint-Jean-de-Paracol,139,18.5,76170,15210,100,9.1,0,35.4,22.9,67,9.603333333,3,15,0,9.9,17.5,
11347,Saint-Julia-de-Bec,104,7.49,70708,17750,103.6,0,0,42.1,21.1,511,10.43666667,15,15,5.9,11.8,25,
11348,Saint-Julien-de-Briola,85,7.52,65006,,102.5,12.5,31.2,57.4,14.7,164,10.99,15,15,25,17.2,8.8,
11350,Saint-Just-et-le-Bézu,53,3.77,38029,,77.1,14.3,0,41.3,15.2,220,10.96833333,15,15,22.2,0,19.4,
11351,Saint-Laurent-de-la-Cabrerisse,760,29.36,736136,18930,91.3,4,33.8,28.3,23.8,142,7.345,3,30,3.1,7.4,15.6,
11352,Saint-Louis-et-Parahou,53,3.27,47835,,86.7,0,100,26.7,17.8,175,8.613333333,15,30,11.4,11.4,26.9,
11353,Saint-Marcel-sur-Aude,2 073,242.29,1479376,20670,90.8,10.1,40.5,25.8,25.5,84,2.621666667,3,3,5.8,16.9,13.9,4.3
11354,Saint-Martin-des-Puits,30,04.03,42925,,113.3,0,0,34.6,23.1,650,10.96666667,7,30,0,0,12.5,
11355,Saint-Martin-de-Villereglan,376,39.45,290397,23370,98.6,9.9,0,26.4,23.6,87,5.683333333,3,15,7,1.7,12.9,
11356,Saint-Martin-Lalande,1 137,88.3,1033714,22630,96.4,7.5,22.6,28.6,21.7,89,4.106666667,7,15,4.4,12.2,8.8,
11357,Saint-Martin-le-Vieil,219,16,194658,23450,93.6,0,75,37.1,21.9,222,7.791666667,3,15,8.3,2.8,12.1,
11358,Saint-Martin-Lys,24,2.4,64992,,86.7,0,,13.6,40.9,,3.828333333,3,15,0,0,38.5,
11359,Saint-Michel-de-Lanès,489,36.91,252585,23300,94.3,11.9,50,41.7,17.4,67,4.83,7,15,14.8,12.3,9.3,
11360,Saint-Nazaire-d'Aude,2 128,240.56,1458826,21230,92.7,6.6,33.6,25.3,23.6,77,3.383333333,3,7,5.2,12.1,14.9,1.18
11361,Saint-Papoul,864,32.7,684644,20430,95.9,7.8,34,28.1,23.5,97,5.551666667,3,15,2,19.7,11.4,4.8
11362,Saint-Paulet,208,27.49,145834,19550,98.8,11.8,25,37.7,18.8,70,9.068333333,3,15,9,18,7.1,
11363,Saint-Pierre-des-Champs,195,11.45,179651,18980,84.4,11.1,60,35.6,23.5,169,5.388333333,3,30,9.6,6.4,15.2,
11364,Saint-Polycarpe,151,10.21,112038,17410,98.6,7.1,26.3,25.6,38.8,209,8.23,3,15,0,11.7,16.9,
